Package Tracking Number,Transaction Date,Recipient Name,Recipient Company,Recipient Address,Recipient Country,Class,Total Cost,Package Weight
{9455109105156083594622},7/8/2024,Interlibrary Loan,Kern County Library,701 Truxtun Ave Bakersfield CA 93301-4800,US,Library Mail,4.62,2 lbs 
{9455109105156083594738},7/8/2024,Interlibrary Loan,Lawrence Public Library,707 Vermont St Lawrence KS 66044-2371,US,Library Mail,4.62,2 lbs 
{9455109105156083594820},7/8/2024,East County Regional Library ILL,,881 Gunnery Rd N Lehigh Acres FL 33971-4928,US,Library Mail,4.62,2 lbs 
{9455109105156083594202},7/8/2024,King Library Interlibrary Services,San Jose Public Library,150 E San Fernando St San Jose CA 95112-3580,US,Library Mail,4.62,2 lbs 
{9455109105156083593601},7/8/2024,,Niceville Public Library,206 Partin Dr N Niceville FL 32578-1244,US,Library Mail,4.62,2 lbs 
{9455109105156083593472},7/8/2024,Van Pelt Library - ILL,University of Pennsylvania,3420 Walnut St Philadelphia PA 19104-3436,US,Library Mail,4.62,2 lbs 
{9455109105156083593311},7/8/2024,Interlibrary Loan,Gooding Public Library,306 5th Ave W Gooding ID 83330-1205,US,Library Mail,4.62,2 lbs 
{9455109105156581910405},7/12/2024,Interlibrary Loan Dept,Evanston Public Library,1703 Orrington Ave Evanston IL 60201-3886,US,Library Mail,6.72,5 lbs 
{9455109105156581910160},7/12/2024,Interlibrary Loan,North Olympic Library System,2210 S Peabody St Port Angeles WA 98362-6536,US,Library Mail,8.83,8 lbs 
,,,,,,,219.25,47
,,,,,,,"1,392.11",291
