Package Tracking Number,Transaction Date,Recipient Name,Recipient Company,Recipient Address,Recipient Country,Class,Total Cost,Package Weight
{9455109105156083606066},7/8/2024,Fogler Library - ILL,University of Maine,5729 Fogler Library Orono ME 04469-5729,US,Library Mail,3.92,1 lbs 
{9455109105156083605663},7/8/2024,Interlibrary Loan Services,Napa County Library,580 Coombs St Napa CA 94559-3396,US,Library Mail,3.92,1 lbs 
{9455109105156083605472},7/8/2024,Library - Interlibrary Loan,The Master's University,21726 Placerita Cyn Rd Santa Clarita CA 91321-1200,US,Library Mail,3.92,1 lbs 
{9455109105156083604529},7/8/2024,Interlibrary Loan,North Bingham County District Library,197 W Locust St Shelley ID 83274-1309,US,Library Mail,3.92,1 lbs 
{9455109105156083604482},7/8/2024,Interlibrary Loan,Marshall Public Library,113 S Garfield Ave Pocatello ID 83204-3235,US,Library Mail,3.92,1 lbs 
{9455109105156083604055},7/8/2024,Interlibrary Loans,Allen County Public Library,900 Library Plz Fort Fort Wayne IN 46802-3699,US,Library Mail,3.92,1 lbs 
{9455109105156083603980},7/8/2024,ILL Department,Bonner Springs City Library,201 N Nettleton Ave Bonner Springs KS 66012-1447,US,Library Mail,3.92,1 lbs 
{9455109105156083603362},7/8/2024,Interlibrary Loan,Lisle Library District,777 Front St Lisle IL 60532-3599,US,Library Mail,3.92,1 lbs 
{9455109105156083603287},7/8/2024,Interlibrary Loan,Oak Lawn Public Library,9427 Raymond Ave Oak Lawn IL 60453-2466,US,Library Mail,3.92,1 lbs 
,,,,,,,219.25,47
,,,,,,,"1,392.11",291
