Recipient Company,Recipient Address,Recipient Country,Class,Total Cost,Package Weight
Missouri River Regional Library,PO Box 89 214 Adams St Jefferson City MO 65102-0089,US,Library Mail,3.72,1 lbs 
Evansville Vanderburgh Public Library,200 SE M L King Blvd Evansville IN 47713-1802,US,Library Mail,3.72,1 lbs 
Los Alamos County Library System,2400 Central Ave Los Alamos NM 87544-4055,US,Library Mail,3.72,1 lbs 
Lexington Public Library,140 E Main St Lexington KY 40507-1376,US,Library Mail,3.72,1 lbs 
Logan Library,950 W 600 N Logan UT 84321-7806,US,Library Mail,3.72,1 lbs 
Indian Trails Public Library District,355 Schoenbeck Rd Wheeling IL 60090-4499,US,Library Mail,3.72,1 lbs 
Warren-Newport Public Library,224 N Oplaine Rd Gurnee IL 60031-2606,US,Library Mail,3.72,1 lbs 
ILL Dept - Jordan Bramley Library,15 Mechanic St Jordan NY 13080-9794,US,Library Mail,3.72,1 lbs 
Sam Houston State University,"1830 Bobby K. Marks Dr, Campus Box 2179 Huntsville TX 77341-2179",US,Library Mail,3.72,1 lbs 
Monterey County Free Libraries,188 Seaside Cir Marina CA 93933-2500,US,Library Mail,3.72,1 lbs 
Springfield Greene Cnty/The Library Ctr,4653 S Campbell Ave Springfield MO 65810-1723,US,Library Mail,3.72,1 lbs 
Salt Lake City Public Library,210 E 400 S Salt Lake City UT 84111-2804,US,Library Mail,3.72,1 lbs 
Kern County Library,701 Truxtun Ave Bakersfield CA 93301-4800,US,Library Mail,3.72,1 lbs 
Vernon Area Public Library,300 Old Hlf Day Rd Lincolnshire IL 60069-2901,US,Library Mail,3.72,1 lbs 
Montgomery County Public Library,104 I H 45 N Conroe TX 77301-2720,US,Library Mail,3.72,1 lbs 
Texas State University-San Marcos,601 University Dr San Marcos TX 78666-4684,US,Library Mail,3.72,1 lbs 
Massachusetts Library System,"33 Boston Post Rd W, Ste 400 Marlborough MA 01752-1829",US,Library Mail,3.72,1 lbs 
Providence College,1 Cunningham Sq Providence RI 02918-0001,US,Library Mail,3.72,1 lbs 
Mercer County Library System,2751 US Highway 1 Lawrence Township NJ 08648-4132,US,Library Mail,3.72,1 lbs 
Denver Public Library,10 W 14th Avenue Pkwy Denver CO 80204-2731,US,Library Mail,3.72,1 lbs 
