name,address,date,latitude,longitude
Kern County Library,701 Truxtun Ave Bakersfield CA 93301-4800,7/8/2024,35.3727823,-119.009894
Lawrence Public Library,707 Vermont St Lawrence KS 66044-2371,7/8/2024,38.9708497,-95.23763679999999
East County Regional Library ILL,881 Gunnery Rd N Lehigh Acres FL 33971-4928,7/8/2024,26.6226182,-81.7168974
San Jose Public Library,150 E San Fernando St San Jose CA 95112-3580,7/8/2024,37.3354953,-121.8850749
Niceville Public Library,206 Partin Dr N Niceville FL 32578-1244,7/8/2024,30.5278881,-86.47018609999999
University of Pennsylvania,3420 Walnut St Philadelphia PA 19104-3436,7/8/2024,39.9527242,-75.1940217
Gooding Public Library,306 5th Ave W Gooding ID 83330-1205,7/8/2024,42.9411547,-114.7159888
Evanston Public Library,1703 Orrington Ave Evanston IL 60201-3886,7/12/2024,42.0484014,-87.68022359999999
North Olympic Library System,2210 S Peabody St Port Angeles WA 98362-6536,7/12/2024,48.1061289,-123.4390502
University of Maine,5729 Fogler Library Orono ME 04469-5729,7/8/2024,44.8994046,-68.6692796
Napa County Library,580 Coombs St Napa CA 94559-3396,7/8/2024,38.2954926,-122.2838724
The Master's University,21726 Placerita Cyn Rd Santa Clarita CA 91321-1200,7/8/2024,34.3816482,-118.5194302
North Bingham County District Library,197 W Locust St Shelley ID 83274-1309,7/8/2024,43.3782558,-112.1244859
Marshall Public Library,113 S Garfield Ave Pocatello ID 83204-3235,7/8/2024,42.86029569999999,-112.4525839
Allen County Public Library,900 Library Plz Fort Fort Wayne IN 46802-3699,7/8/2024,41.0771709,-85.14323689999999
Bonner Springs City Library,201 N Nettleton Ave Bonner Springs KS 66012-1447,7/8/2024,39.0605173,-94.8836085
Lisle Library District,777 Front St Lisle IL 60532-3599,7/8/2024,41.7964317,-88.06693659999999
Oak Lawn Public Library,9427 Raymond Ave Oak Lawn IL 60453-2466,7/8/2024,41.72031010000001,-87.7522678
