name,address,date,latitude,longitude,trackingNumber
University of Maine,5729 Fogler Library Orono ME 04469-5729,7/8/2024,44.8994046,-68.6692796,{9455109105156083606066}
Napa County Library,580 Coombs St Napa CA 94559-3396,7/8/2024,38.2954926,-122.2838724,{9455109105156083605663}
The Master's University,21726 Placerita Cyn Rd Santa Clarita CA 91321-1200,7/8/2024,34.3816482,-118.5194302,{9455109105156083605472}
North Bingham County District Library,197 W Locust St Shelley ID 83274-1309,7/8/2024,43.3782558,-112.1244859,{9455109105156083604529}
Marshall Public Library,113 S Garfield Ave Pocatello ID 83204-3235,7/8/2024,42.86029569999999,-112.4525839,{9455109105156083604482}
Allen County Public Library,900 Library Plz Fort Fort Wayne IN 46802-3699,7/8/2024,41.0771709,-85.14323689999999,{9455109105156083604055}
Bonner Springs City Library,201 N Nettleton Ave Bonner Springs KS 66012-1447,7/8/2024,39.0605173,-94.8836085,{9455109105156083603980}
Lisle Library District,777 Front St Lisle IL 60532-3599,7/8/2024,41.7964317,-88.06693659999999,{9455109105156083603362}
Oak Lawn Public Library,9427 Raymond Ave Oak Lawn IL 60453-2466,7/8/2024,41.72031010000001,-87.7522678,{9455109105156083603287}
Kern County Library,701 Truxtun Ave Bakersfield CA 93301-4800,7/8/2024,35.3727823,-119.009894,{9455109105156083594622}
Lawrence Public Library,707 Vermont St Lawrence KS 66044-2371,7/8/2024,38.9708497,-95.23763679999999,{9455109105156083594738}
East County Regional Library ILL,881 Gunnery Rd N Lehigh Acres FL 33971-4928,7/8/2024,26.6226182,-81.7168974,{9455109105156083594820}
San Jose Public Library,150 E San Fernando St San Jose CA 95112-3580,7/8/2024,37.3354953,-121.8850749,{9455109105156083594202}
Niceville Public Library,206 Partin Dr N Niceville FL 32578-1244,7/8/2024,30.5278881,-86.47018609999999,{9455109105156083593601}
University of Pennsylvania,3420 Walnut St Philadelphia PA 19104-3436,7/8/2024,39.9527242,-75.1940217,{9455109105156083593472}
Gooding Public Library,306 5th Ave W Gooding ID 83330-1205,7/8/2024,42.9411547,-114.7159888,{9455109105156083593311}
Gooding Public Library,306 5th Ave W Gooding ID 83330-1205,7/8/2024,42.9411547,-114.7159888,{9455109105156083593311}
Evanston Public Library,1703 Orrington Ave Evanston IL 60201-3886,7/12/2024,42.0484014,-87.68022359999999,{9455109105156581910405}
North Olympic Library System,2210 S Peabody St Port Angeles WA 98362-6536,7/12/2024,48.1061289,-123.4390502,{9455109105156581910160}
North Olympic Library System,2210 S Peabody St Port Angeles WA 98362-6536,7/12/2024,48.1061289,-123.4390502,{9455109105156581910160}
Peoria Public Library,107 NE Monroe St Peoria IL 61602-1070,6/17/2024,40.6952986,-89.59260189999999,{9455109105156578377051}
Cambridge Community Library,PO Box 490 101 Spring Water Alley Cambridge WI 53523-0490,6/17/2024,43.0029188,-89.0173836,{9455109105156080930010}
Hammond Community Library,PO Box 120 850 Davis Street Hammond WI 54015-0120,6/17/2024,44.977288,-92.43574819999999,{9455109105156578374968}
Irene Ingle Public Library ILL,PO Box 679 Wrangell AK 99929-0679,6/17/2024,56.3249862,-132.0482099,{9455109105156578374050}
Orcas Island Library,500 Rose St Eastsound WA 98245-9453,6/17/2024,48.6967412,-122.9043832,{9455109105156578373589}
Kuna Library,457 Locust Ave Kuna ID 83634-1926,6/17/2024,43.49246180000001,-116.4205805,{9455109105156080927492}
North Olympic Library System,2210 S Peabody St Port Angeles WA 98362-6536,6/17/2024,48.1061289,-123.4390502,{9455109105156080927287}
Fort Bend County Libraries,1001 Golfview Dr Richmond TX 77469-5141,6/17/2024,29.5620972,-95.7580253,{9455109105156578372179}
Laramie County Library System,2200 Pioneer Ave Cheyenne WY 82001-3610,6/17/2024,41.1374046,-104.8218075,{9455109105156578371837}
Skagit Valley College,2405 E College Way Mount Vernon WA 98273-5899,6/17/2024,48.4377149,-122.3092676,{9455109105156578371394}
Glenview Public Library,1930 Glenview Rd Glenview IL 60025-2899,6/17/2024,42.0732058,-87.8063011,{9455109105156080925597}
University of Northern Colorado,"501 20th St, # 48 Campus Greeley CO 80639-0091",6/17/2024,37.7606233,-122.3850321,{9455109105156578370946}
Durango Public Library,1900 E 3rd Ave Durango CO 81301-5027,6/17/2024,37.283384,-107.8734222,{9455109105156578370823}
Regis University,3333 Regis Blvd Denver CO 80221-1099,6/17/2024,39.7903715,-105.0304915,{9455109105156578370366}
Humboldt County Library,1313 3rd St Eureka CA 95501-0553,6/17/2024,40.80588580000001,-124.1572723,{9455109105156080922510}
Shreve Memorial Library,885 Bert Koun Loop Shreveport LA 71118-3463,6/17/2024,32.4000478,-93.77936419999999,{9455109105156080921896}
Topeka & Shawnee County Public Library,1515 SW 10th Ave Topeka KS 66604-1374,6/17/2024,39.0507787,-95.6965694,{9455109105156080921049}
St Louis County Library,1412 S Spoede Rd Saint Louis MO 63131-2557,6/17/2024,38.6338534,-90.4150863,{9455109105156080920684}
Monroe County Public Library,303 E Kirkwood Ave Bloomington IN 47408-3592,6/17/2024,39.1669872,-86.5303618,{9455109105156578369483}
Garden City Library,6015 N Glenwood St Garden City ID 83714-1347,6/17/2024,43.6601885,-116.2806779,{9455109105156080918131}
Tulare County Library,200 W Oak Ave Visalia CA 93291-4931,6/17/2024,36.3324717,-119.2941767,{9455109105156578368981}
Lakewood Public Library,15425 Detroit Ave Lakewood OH 44107-3890,6/17/2024,41.4846917,-81.80426419999999,{9455109105156578369049}
Midwestern State University,3410 Taft Blvd Wichita Falls TX 76308-2096,6/17/2024,33.8762247,-98.5197037,{9455109105156080915802}
Provo City Library,550 N Univ Ave Provo UT 84601-1618,6/17/2024,40.2412959,-111.657434,{9455109105156080915215}
Scottsdale Public Library - ILL,3839 N Drinkwater Blvd Scottsdale AZ 85251-4467,6/17/2024,33.491971,-111.9204515,{9455109105156578368592}
Palos Verdes Library District,701 Sil Spur Rd Rolling Hills Estates CA 90274-3603,6/17/2024,33.7707634,-118.3707145,{9455109105156080914058}
Hillsborough County Public Library Coop,3804 S Manhattan Ave Tampa FL 33611-1212,6/17/2024,27.9082963,-82.51726699999999,{9455109105156578368639}
Douglas County Libraries,100 S Wilcox St Castle Rock CO 80104-1911,6/17/2024,39.368124,-104.8590657,{9455109105156080913082}
Jefferson County Public Library,10500 W 38th Ave Wheat Ridge CO 80033-4012,6/17/2024,39.7688995,-105.1163024,{9455109105156578368196}
Arizona State University Library,601 E Tyler Mall Tempe AZ 85281,6/17/2024,33.4199115,-111.9306491,{9455109105156578383328}
Oklahoma Christian University,2801 E Memorial Rd Edmond OK 73013-6474,6/17/2024,35.6097093,-97.4643163,{9455109105156080933004}
Hatfield Public Library,39 Main St Hatfield MA 01038-9702,6/17/2024,42.37012319999999,-72.59712069999999,{9455109105156578379123}
Niceville Public Library,206 Partin Dr N Niceville FL 32578-1244,6/17/2024,30.5278881,-86.47018609999999,{9455109105156080931598}
Wilder Public Library District,PO Box 128 Wilder ID 83676-0128,6/17/2024,43.6765485,-116.9118157,{9455109105156080911170}
Lawrence Public Library,707 Vermont St Lawrence KS 66044-2371,6/17/2024,38.9708497,-95.23763679999999,{9455109105156080909931}
